Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
ELECTRONICS ENGINEER - INTERDISCIPLINARY,Air Combat Command,"Eglin AFB, Florida",GS,106437,138370,0854,2026-03-04,2026-03-11,https://www.usajobs.gov:443/job/859612500
COMPUTER SCIENTIST,Air Force Civilian Career Training,"Lackland AFB, Texas",GG,79735,126275,1550,2025-09-29,2026-09-28,https://www.usajobs.gov:443/job/846773800
COMPUTER SCIENTIST,Air Force Civilian Career Training,"Salt Lake City, Utah",GS,56763,88225,1550,2025-10-01,2026-09-30,https://www.usajobs.gov:443/job/852682400
Computer Scientist,Air Force Civilian Career Training,"Gunter AFB, Alabama",GS,56763,99314,1550,2025-09-29,2026-09-28,https://www.usajobs.gov:443/job/846731400
COMPUTER SCIENTIST-DIRECT HIRE AUTHORITY,Air Force Materiel Command,"Eglin AFB, Florida",NH,88621,137000,1550,2025-11-19,2026-03-17,https://www.usajobs.gov:443/job/850343200
General Engineer,Air Force Materiel Command,"Robins AFB, Georgia",NH,89508,138370,0801,2026-02-19,2026-03-06,https://www.usajobs.gov:443/job/858099100
SCIENTIST,"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)","NIWC LANT Charleston, South Carolina",ND,125776,192331,1550,2026-03-03,2026-03-09,https://www.usajobs.gov:443/job/859723600
COMPUTER SCIENTIST,Defense Information Systems Agency,"Fort Meade, Maryland",GG,121785,158322,1550,2026-02-27,2026-03-08,https://www.usajobs.gov:443/job/858942500
Computer Scientist,Department of the Air Force - Agency Wide,"Joint Base Anacostia-Bolling, District of Columbia",GS,76463,164301,1550,2025-12-22,2026-12-21,https://www.usajobs.gov:443/job/852882500
Senior Computer Scientist,Department of the Air Force - Agency Wide,"Linthicum, Maryland",ST,151662,209600,1550,2026-03-05,2026-03-20,https://www.usajobs.gov:443/job/859974200
Data Scientist (Branch Chief),Food Safety and Inspection Service,"Fort Collins, Colorado",GS,126797,182316,1530,2026-02-27,2026-03-12,https://www.usajobs.gov:443/job/858837100
Solutions Development Office Technical Analyst (O-5 Billet) Non-Supervisory,Immigration and Customs Enforcement,"Washington, District of Columbia",CC,1,150000,0332,2025-10-01,2026-09-30,https://www.usajobs.gov:443/job/845848100
Supervisory Computer Scientist,Joint Activities,"Fort Meade, Maryland",GG,143913,196689,1550,2026-03-05,2026-03-12,https://www.usajobs.gov:443/job/860017800
Computer Scientist / Support Specialist,Judicial Branch - Agency Wide,"Washington, District of Columbia",AD,86169,90478,1550,2026-02-24,2026-03-23,https://www.usajobs.gov:443/job/858733500
Senior Cyber Offense Specialist,National Institute of Standards and Technology,"Washington, District of Columbia",ZP,121785,197200,1550,2026-02-03,2026-03-10,https://www.usajobs.gov:443/job/856268500
INTERDISCIPLINARY ENGINEER,Naval Air Systems Command,"Patuxent River, Maryland",DP,102415,158322,0801,2026-01-15,2026-05-15,https://www.usajobs.gov:443/job/854460900
INTERDISCIPLINARY ENGINEER OR SCIENTIST,Naval Air Systems Command,"China Lake, California",DP,198348,209600,0801,2026-02-17,2026-03-09,https://www.usajobs.gov:443/job/857650300
INTERDISCIPLINARY ENGINEER/ SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",DP,102415,158322,0801,2026-01-20,2026-05-20,https://www.usajobs.gov:443/job/854653900
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",DP,101401,156755,0850,2025-11-14,2026-05-15,https://www.usajobs.gov:443/job/849884300
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",DP,101401,156755,0850,2025-11-26,2026-05-26,https://www.usajobs.gov:443/job/851106600
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",DP,194671,209600,0854,2026-02-12,2026-03-05,https://www.usajobs.gov:443/job/857441100
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Patuxent River, Maryland",DP,102415,158322,0854,2026-03-04,2026-03-10,https://www.usajobs.gov:443/job/859563800
INTERDISCIPLINARY ENGINEER/SCIENTIST,Naval Air Systems Command,"Saint Inigoes, Maryland",DP,143913,197200,0801,2026-03-04,2026-03-10,https://www.usajobs.gov:443/job/859141600
TECHNICAL DIRECTOR,Naval Facilities Engineering Systems Command,"Port Hueneme, California",SL,189725,228000,0801,2026-02-24,2026-03-11,https://www.usajobs.gov:443/job/858624600
COMPUTER SCIENTIST,Naval Sea Systems Command,"Dahlgren, Virginia",ND,101401,156755,1550,2025-11-17,2026-05-15,https://www.usajobs.gov:443/job/850195200
