Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
Supervisory Auditor,Administration for Children and Families,"Washington, District of Columbia",GS,143913,187093,0511,2026-04-17,2026-04-21,https://www.usajobs.gov:443/job/865153100
Supervisory Social Science Analyst,Administration for Children and Families,"Washington, District of Columbia",GS,143913,187093,0101,2026-04-17,2026-04-23,https://www.usajobs.gov:443/job/865146500
Administrative Officer,Administration for Community Living,"Washington, District of Columbia",GS,143913,187093,0341,2026-04-14,2026-04-17,https://www.usajobs.gov:443/job/864951200
Environmental Health Scientist,Agency for Toxic Substances and Disease Registry,"Denver, Colorado",GS,127829,182316,0601,2026-04-10,2026-04-20,https://www.usajobs.gov:443/job/864126200
Environmental Health Scientist,Agency for Toxic Substances and Disease Registry,"Philadelphia, Pennsylvania",GS,117284,155521,0601,2026-04-16,2026-04-29,https://www.usajobs.gov:443/job/865039500
Safety and  Occupational Health Manager,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0018,2026-04-15,2026-04-22,https://www.usajobs.gov:443/job/865163500
Security Specialist,Centers for Disease Control and Prevention,"Fort Collins, Colorado",GS,68819,89470,0080,2026-04-13,2026-04-20,https://www.usajobs.gov:443/job/864540100
Security Specialist (Global),Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,112556,146325,0080,2026-04-17,2026-04-23,https://www.usajobs.gov:443/job/865239000
Supervisory Health Scientist,Centers for Disease Control and Prevention,"Atlanta, Georgia",GS,156451,197200,0601,2026-04-17,2026-04-24,https://www.usajobs.gov:443/job/865127100
Accountant,Centers for Medicare & Medicaid Services,"Denver, Colorado",GS,108173,158322,0510,2026-04-17,2026-04-27,https://www.usajobs.gov:443/job/865424200
Administrative Officer,Centers for Medicare & Medicaid Services,"Atlanta, Georgia",GS,112556,146325,0341,2026-04-10,2026-04-20,https://www.usajobs.gov:443/job/864537200
Contracting Officer,Centers for Medicare & Medicaid Services,"Woodlawn, Maryland",GS,138595,187093,1102,2026-04-17,2026-04-23,https://www.usajobs.gov:443/job/865620300
Cybersecurity Architect,Centers for Medicare & Medicaid Services,"Woodlawn, Maryland",GS,166283,197200,2210,2026-04-10,2026-04-24,https://www.usajobs.gov:443/job/864697400
