Position Title,Agency,Location,Grade,Salary Min,Salary Max,Job Code,Opening Date,Closing Date,Job URL
 Program Manager,Department of State - Agency Wide,"Charlotte, North Carolina",GS,151244,196619,0340,2026-07-27,2026-08-10,https://www.usajobs.gov:443/job/878135100
 Supervisory Passport Specialist,Department of State - Agency Wide,"Stamford, Connecticut",GS,120094,156124,0967,2026-07-30,2026-08-06,https://www.usajobs.gov:443/job/878496400
Administrative Specialist,Department of State - Agency Wide,"Washington, District of Columbia",GS,121785,158322,0301,2026-08-06,2026-08-19,https://www.usajobs.gov:443/job/879310800
Administrative Specialist (Office Administrator),Department of State - Agency Wide,"Washington, District of Columbia",GS,85447,111087,0301,2026-08-04,2026-08-10,https://www.usajobs.gov:443/job/878963700
Attorney Adviser (General),Department of State - Agency Wide,"Washington, District of Columbia",GS,121785,187093,0905,2026-07-24,2026-08-06,https://www.usajobs.gov:443/job/877743000
Attorney Adviser International,Department of State - Agency Wide,"Washington, District of Columbia",GS,143913,197200,0905,2026-07-08,2026-08-07,https://www.usajobs.gov:443/job/875652700
Budget Analyst,Department of State - Agency Wide,"Washington, District of Columbia",GS,121785,158322,0560,2026-08-06,2026-08-14,https://www.usajobs.gov:443/job/879426100
Data Scientist,Department of State - Agency Wide,"Washington, District of Columbia",GS,143913,187093,1560,2026-07-28,2026-08-10,https://www.usajobs.gov:443/job/878148300
Diplomatic Security Foreign Service Special Agent (SA) (FP-2501),Department of State - Agency Wide,"Montevideo, Uruguay",FP,61382,98460,1811,2026-01-01,2026-12-31,https://www.usajobs.gov:443/job/853395100
Diplomatic Security:  Foreign Service Security Engineering Officer (FS-2550),Department of State - Agency Wide,"Montevideo, Uruguay",FP,87709,121080,0855,2026-04-27,2027-04-26,https://www.usajobs.gov:443/job/866369500
Diplomatic Security:  Foreign Service Security Technical Specialist (FS 2560),Department of State - Agency Wide,"Montevideo, Uruguay",FP,59726,87709,0856,2026-04-27,2027-04-26,https://www.usajobs.gov:443/job/866365000
Foreign Affairs Officer,Department of State - Agency Wide,"Washington, District of Columbia",GS,143913,187093,0130,2026-07-27,2026-08-07,https://www.usajobs.gov:443/job/877910400
